"city","month","avg_day_length"
Cordoba,1,"09:52:41.37931"
Cordoba,2,"10:47:37.777778"
Cordoba,3,"11:59:30.967742"
Cordoba,4,"13:12:14.482759"
Cordoba,5,"14:13:26.896552"
Cordoba,6,"14:44:53.333333"
Cordoba,7,"14:29:23.571429"
Cordoba,8,"13:36:26.896552"
Cordoba,9,"12:24:43.448276"
Cordoba,10,"11:13:02"
Cordoba,11,"10:08:40.714286"
Cordoba,12,"09:35:48.387097"
Hanoi,1,"11:01:09.677419"
Hanoi,2,"11:27:36.923077"
Hanoi,3,"12:02:20.689655"
Hanoi,4,"12:37:20.689655"
Hanoi,5,"13:07:55.862069"
Hanoi,6,"13:23:07.5"
Hanoi,7,"13:15:44"
Hanoi,8,"12:50:41.37931"
Hanoi,9,"12:15:20.689655"
Hanoi,10,"11:39:20.769231"
Hanoi,11,"11:09:06.206897"
Hanoi,12,"10:53:23.225806"
San Francisco,1,"09:54:44.444444"
San Francisco,2,"10:51:04.615385"
San Francisco,3,"12:00:32.903226"
San Francisco,4,"13:13:30"
San Francisco,5,"14:13:27.857143"
San Francisco,6,"14:43:48"
San Francisco,7,"14:27:57.931034"
San Francisco,8,"13:35:48"
San Francisco,9,"12:26:31.111111"
San Francisco,10,"11:11:32"
San Francisco,11,"10:08:06.206897"
San Francisco,12,"09:35:46.451613"
,,
